Jurisdiction,Category,Type,Management,Fate,y,ds,Sub_stream_name,Sub_stream_index
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Other disposal,Disposal,0,2013-12-31,C&I core,3
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Recycling,Recycling,0,2013-12-31,C&I core,3
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Treatment,Disposal,0,2013-12-31,C&I core,3
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Treatment,Energy recovery,0,2013-12-31,C&I core,3
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Treatment,Recycling,0,2013-12-31,C&I core,3
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Landfill,Disposal,0,2013-12-31,Total,9
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Other disposal,Disposal,0,2013-12-31,Total,9
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Recycling,Recycling,0,2013-12-31,Total,9
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Treatment,Disposal,0,2013-12-31,Total,9
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Treatment,Energy recovery,0,2013-12-31,Total,9
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Treatment,Recycling,0,2013-12-31,Total,9
ACT,Hazardous wastes,Other miscellaneous (other T),Landfill,Disposal,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Other miscellaneous (other T),Other disposal,Disposal,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Other miscellaneous (other T),Recycling,Recycling,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Other miscellaneous (other T),Treatment,Disposal,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Other miscellaneous (other T),Treatment,Energy recovery,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Other miscellaneous (other T),Treatment,Recycling,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Other miscellaneous (other T),Landfill,Disposal,6,2013-12-31,C&I core,3
ACT,Hazardous wastes,Other miscellaneous (other T),Other disposal,Disposal,1,2013-12-31,C&I core,3
ACT,Hazardous wastes,Other miscellaneous (other T),Recycling,Recycling,19,2013-12-31,C&I core,3
ACT,Hazardous wastes,Other miscellaneous (other T),Treatment,Disposal,28,2013-12-31,C&I core,3
ACT,Hazardous wastes,Other miscellaneous (other T),Treatment,Energy recovery,0,2013-12-31,C&I core,3
ACT,Hazardous wastes,Other miscellaneous (other T),Treatment,Recycling,0,2013-12-31,C&I core,3
ACT,Hazardous wastes,Other miscellaneous (other T),Landfill,Disposal,6,2013-12-31,Total,9
ACT,Hazardous wastes,Other miscellaneous (other T),Other disposal,Disposal,1,2013-12-31,Total,9
ACT,Hazardous wastes,Other miscellaneous (other T),Recycling,Recycling,19,2013-12-31,Total,9
ACT,Hazardous wastes,Other miscellaneous (other T),Treatment,Disposal,28,2013-12-31,Total,9
ACT,Hazardous wastes,Other miscellaneous (other T),Treatment,Energy recovery,0,2013-12-31,Total,9
ACT,Hazardous wastes,Other miscellaneous (other T),Treatment,Recycling,0,2013-12-31,Total,9
ACT,Hazardous wastes,Other soil/sludges (other N),Landfill,Disposal,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Other soil/sludges (other N),Other disposal,Disposal,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Other soil/sludges (other N),Recycling,Recycling,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Other soil/sludges (other N),Treatment,Disposal,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Other soil/sludges (other N),Treatment,Energy recovery,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Other soil/sludges (other N),Treatment,Recycling,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Other soil/sludges (other N),Landfill,Disposal,6,2013-12-31,C&I core,3
ACT,Hazardous wastes,Other soil/sludges (other N),Other disposal,Disposal,0,2013-12-31,C&I core,3
ACT,Hazardous wastes,Other soil/sludges (other N),Recycling,Recycling,2,2013-12-31,C&I core,3
ACT,Hazardous wastes,Other soil/sludges (other N),Treatment,Disposal,3,2013-12-31,C&I core,3
ACT,Hazardous wastes,Other soil/sludges (other N),Treatment,Energy recovery,0,2013-12-31,C&I core,3
ACT,Hazardous wastes,Other soil/sludges (other N),Treatment,Recycling,1,2013-12-31,C&I core,3
ACT,Hazardous wastes,Other soil/sludges (other N),Landfill,Disposal,6,2013-12-31,Total,9
ACT,Hazardous wastes,Other soil/sludges (other N),Other disposal,Disposal,0,2013-12-31,Total,9
ACT,Hazardous wastes,Other soil/sludges (other N),Recycling,Recycling,2,2013-12-31,Total,9
ACT,Hazardous wastes,Other soil/sludges (other N),Treatment,Disposal,3,2013-12-31,Total,9
ACT,Hazardous wastes,Other soil/sludges (other N),Treatment,Energy recovery,0,2013-12-31,Total,9
ACT,Hazardous wastes,Other soil/sludges (other N),Treatment,Recycling,1,2013-12-31,Total,9
ACT,Hazardous wastes,"Paints, resins, inks, organic sludges (F)",Landfill,Disposal,0,2013-12-31,C&D,2
ACT,Hazardous wastes,"Paints, resins, inks, organic sludges (F)",Other disposal,Disposal,0,2013-12-31,C&D,2
ACT,Hazardous wastes,"Paints, resins, inks, organic sludges (F)",Recycling,Recycling,0,2013-12-31,C&D,2
ACT,Hazardous wastes,"Paints, resins, inks, organic sludges (F)",Treatment,Disposal,0,2013-12-31,C&D,2
ACT,Hazardous wastes,"Paints, resins, inks, organic sludges (F)",Treatment,Energy recovery,0,2013-12-31,C&D,2
ACT,Hazardous wastes,"Paints, resins, inks, organic sludges (F)",Treatment,Recycling,0,2013-12-31,C&D,2
ACT,Hazardous wastes,"Paints, resins, inks, organic sludges (F)",Landfill,Disposal,2,2013-12-31,C&I core,3
ACT,Hazardous wastes,"Paints, resins, inks, organic sludges (F)",Other disposal,Disposal,1,2013-12-31,C&I core,3
ACT,Hazardous wastes,"Paints, resins, inks, organic sludges (F)",Recycling,Recycling,22,2013-12-31,C&I core,3
ACT,Hazardous wastes,"Paints, resins, inks, organic sludges (F)",Treatment,Disposal,20,2013-12-31,C&I core,3
ACT,Hazardous wastes,"Paints, resins, inks, organic sludges (F)",Treatment,Energy recovery,7,2013-12-31,C&I core,3
ACT,Hazardous wastes,"Paints, resins, inks, organic sludges (F)",Treatment,Recycling,7,2013-12-31,C&I core,3
ACT,Hazardous wastes,"Paints, resins, inks, organic sludges (F)",Landfill,Disposal,2,2013-12-31,Total,9
ACT,Hazardous wastes,"Paints, resins, inks, organic sludges (F)",Other disposal,Disposal,1,2013-12-31,Total,9
ACT,Hazardous wastes,"Paints, resins, inks, organic sludges (F)",Recycling,Recycling,22,2013-12-31,Total,9
ACT,Hazardous wastes,"Paints, resins, inks, organic sludges (F)",Treatment,Disposal,20,2013-12-31,Total,9
ACT,Hazardous wastes,"Paints, resins, inks, organic sludges (F)",Treatment,Energy recovery,7,2013-12-31,Total,9
ACT,Hazardous wastes,"Paints, resins, inks, organic sludges (F)",Treatment,Recycling,7,2013-12-31,Total,9
ACT,Hazardous wastes,Pesticides (H),Landfill,Disposal,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Pesticides (H),Other disposal,Disposal,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Pesticides (H),Recycling,Recycling,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Pesticides (H),Treatment,Disposal,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Pesticides (H),Treatment,Energy recovery,0,2013-12-31,C&D,2
