Jurisdiction,Category,Type,Total type,Management,Fate,y,ds,Sub-stream
SA,Hazardous wastes,,Hazwaste total,Energy from waste facility,Energy recovery,12988,2021-12-31,03 C&I core
SA,Hazardous wastes,,Hazwaste total,Landfill,Disposal,63157,2021-12-31,03 C&I core
SA,Hazardous wastes,,Hazwaste total,Other disposal,Disposal,6827,2021-12-31,03 C&I core
SA,Hazardous wastes,,Hazwaste total,Recycling,Recycling,82457,2021-12-31,03 C&I core
SA,Hazardous wastes,,Hazwaste total,Treatment,Disposal,13821,2021-12-31,03 C&I core
SA,Hazardous wastes,,Hazwaste total,Treatment,Energy recovery,7348,2021-12-31,03 C&I core
SA,Hazardous wastes,,Hazwaste total,Treatment,Recycling,64920,2021-12-31,03 C&I core
SA,Hazardous wastes,,Hazwaste total,Energy from waste facility,Energy recovery,12988,2021-12-31,09 Total
SA,Hazardous wastes,,Hazwaste total,Landfill,Disposal,86771,2021-12-31,09 Total
SA,Hazardous wastes,,Hazwaste total,Other disposal,Disposal,6827,2021-12-31,09 Total
SA,Hazardous wastes,,Hazwaste total,Recycling,Recycling,137395,2021-12-31,09 Total
SA,Hazardous wastes,,Hazwaste total,Treatment,Disposal,36049,2021-12-31,09 Total
SA,Hazardous wastes,,Hazwaste total,Treatment,Energy recovery,7348,2021-12-31,09 Total
SA,Hazardous wastes,,Hazwaste total,Treatment,Recycling,152095,2021-12-31,09 Total
SA,Mining,,Mining waste total,Landfill,Disposal,5,2021-12-31,08 C&I (mining)
SA,Mining,,Mining waste total,Other disposal,Disposal,51735005,2021-12-31,08 C&I (mining)
SA,Mining,,Mining waste total,Recycling,Recycling,0,2021-12-31,08 C&I (mining)
SA,Mining,,Mining waste total,Unknown,Unknown,0,2021-12-31,08 C&I (mining)
SA,Mining,,Mining waste total,Landfill,Disposal,5,2021-12-31,09 Total
SA,Mining,,Mining waste total,Other disposal,Disposal,51735005,2021-12-31,09 Total
SA,Mining,,Mining waste total,Recycling,Recycling,0,2021-12-31,09 Total
SA,Mining,,Mining waste total,Unknown,Unknown,0,2021-12-31,09 Total
SA,Total,,All other waste total,Energy from waste facility,Energy recovery,34300,2021-12-31,02 C&D
SA,Total,,All other waste total,Landfill,Disposal,552063,2021-12-31,02 C&D
SA,Total,,All other waste total,Landfill,Energy recovery,5093,2021-12-31,02 C&D
SA,Total,,All other waste total,Recycling,Recycling,2446798,2021-12-31,02 C&D
SA,Total,,All other waste total,Waste reuse,Waste reuse,15093,2021-12-31,02 C&D
SA,Total,,All other waste total,Energy from waste facility,Energy recovery,65700,2021-12-31,03 C&I core
SA,Total,,All other waste total,Landfill,Disposal,74944,2021-12-31,03 C&I core
SA,Total,,All other waste total,Landfill,Energy recovery,11487,2021-12-31,03 C&I core
SA,Total,,All other waste total,Recycling,Recycling,786325,2021-12-31,03 C&I core
SA,Total,,All other waste total,Waste reuse,Waste reuse,4712,2021-12-31,03 C&I core
SA,Total,,All other waste total,Energy from waste facility,Energy recovery,0,2021-12-31,01 MSW
SA,Total,,All other waste total,Landfill,Disposal,310055,2021-12-31,01 MSW
SA,Total,,All other waste total,Landfill,Energy recovery,56859,2021-12-31,01 MSW
